Aktie,FinalScore,Empfehlung,Einstiegskurs,TodayUpScore,TrendScore,MomentumConfirmationScore,DayTradeScore,CatalystScore,NewsScore,TradeScore,KI %,RSI,ADX,ROC,Volumen-Faktor,Sentiment,Trend-Klasse,OverextensionPenalty,wichtigste Gründe,News Headline,News Quelle,News Veröffentlichungszeit
AAPL,48.8,Kein Trade,327.57,74.0,4.0,74.0,88.0,66.0,59.0,,,53.6,20.4,0.2,6.1,neutral,Strong Downtrend,0.0,"starke Teil-Scores: DayTradeScore, Earnings/Guidance, Lawsuit/Investigation, positive Begriffe: 4, negative Begriffe: 1, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse",Apple Is Up 20% in 2026. What Will It Take for AAPL Stock to Hit $350?,Yahoo,2026-07-15 19:16
GOOG,48.5,Kein Trade,370.24,78.0,8.0,78.0,94.0,66.0,40.0,,,52.3,26.1,0.3,7.2,negative,Strong Downtrend,0.0,"starke Teil-Scores: DayTradeScore, schwache Teil-Scores: NewsScore, Lawsuit/Investigation, positive Begriffe: 2, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC",Google’s biggest clean power project is 40 miles north of xAI’s unpermitted gas power plant,Yahoo,2026-07-15 17:39
GOOGL,44.2,Kein Trade,370.92,78.0,8.0,78.0,87.0,58.0,36.0,,,49.2,29.0,0.1,6.2,negative,Strong Downtrend,0.0,"starke Teil-Scores: DayTradeScore, schwache Teil-Scores: NewsScore, Lawsuit/Investigation, positive Begriffe: 1, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC",Google’s biggest clean power project is 40 miles north of xAI’s unpermitted gas power plant,Yahoo,2026-07-15 17:39
AMZN,41.8,Kein Trade,254.88,78.0,8.0,78.0,79.0,46.0,49.0,,,55.6,37.5,0.2,5.1,mixed,Strong Downtrend,0.0,"schwache Teil-Scores: CatalystScore, NewsScore, positive Begriffe: 1, negative Begriffe: 1, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC, starker Intraday-Trend","AMZN Stock Rallies Over 3% — Amazon Reshuffles AWS Leadership As Veteran Dave Brown Exits, Dave Treadwell Takes Over",Yahoo,2026-07-15 18:31
MSFT,37.1,Kein Trade,395.62,78.0,8.0,78.0,79.0,38.0,32.0,,,45.5,33.9,0.0,3.9,negative,Strong Downtrend,0.0,"schwache Teil-Scores: CatalystScore, NewsScore, Lawsuit/Investigation, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC, starker Intraday-Trend, RSI im bestaetigten Momentum-Bereich",Market Chatter: Microsoft Overhauls Security Business to Capture AI Demand,Yahoo,2026-07-15 19:18
META,30.7,Kein Trade,681.28,54.0,4.0,54.0,55.0,40.0,59.0,,,79.5,18.5,0.7,6.1,neutral,Strong Downtrend,6.0,"schwache Teil-Scores: CatalystScore, Lawsuit/Investigation, Partnership/Deal, positive Begriffe: 3, negative Begriffe: 1, heutige positive Kursreaktion, starke heutige Performance, erhoehtes Volumen bestaetigt Kaufinteresse, Risiko: RSI erhöht",Better Artificial Intelligence (AI) Stock: Alphabet Versus Meta Platforms,Yahoo,2026-07-15 19:35
ADBE,29.0,Kein Trade,224.57,60.0,4.0,60.0,62.0,30.0,29.0,,,61.0,19.1,0.1,6.2,mixed,Strong Downtrend,0.0,"schwache Teil-Scores: CatalystScore, NewsScore, Lawsuit/Investigation, positive Begriffe: 3, negative Begriffe: 3, heutige positive Kursreaktion, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC, brauchbare Trendstaerke",ADBE Looks Cheap. The Data Says Be Careful,Yahoo,2026-07-15 12:30
INTC,26.2,Kein Trade,102.99,0.0,8.0,0.0,55.0,18.0,30.0,,,71.6,28.0,0.9,3.9,mixed,Strong Downtrend,0.0,"schwache Teil-Scores: CatalystScore, NewsScore, Lawsuit/Investigation, positive Begriffe: 2, negative Begriffe: 2, positiver Intraday-ROC, starker Intraday-Trend, RSI im bestaetigten Momentum-Bereich, hohes Volumen bei fallendem Kurs",Intel (INTC) Stock May Be Reasonable On Its Very Large 1 Year Run,Yahoo,2026-07-15 17:11
NFLX,25.9,Kein Trade,73.67,2.0,8.0,2.0,42.0,22.0,43.0,,,45.5,49.8,0.5,5.2,neutral,Strong Downtrend,0.0,"schwache Teil-Scores: DayTradeScore, CatalystScore, NewsScore, Earnings/Guidance, Lawsuit/Investigation, negative Begriffe: 1, positiver Intraday-ROC, starker Intraday-Trend, RSI im bestaetigten Momentum-Bereich, hohes Volumen bei fallendem Kurs",Netflix (NFLX): The Worst Blue Chip Stock to Buy Now,Yahoo,2026-07-15 14:24
NVDA,24.6,Kein Trade,212.49,64.0,8.0,64.0,59.0,30.0,0.0,,,68.6,31.9,0.7,4.3,neutral,Strong Downtrend,0.0,"schwache Teil-Scores: CatalystScore, NewsScore, heutige positive Kursreaktion, erhoehtes Volumen bestaetigt Kaufinteresse, positiver Intraday-ROC, starker Intraday-Trend, RSI im bestaetigten Momentum-Bereich",,,
